68,ACCELEROMETER,x,0.28,y,-0.48,z,-9.35
68,BOTTOMINFRARED,edgeLeft,656,lineLeft,671,lineCenter,784,lineRight,652,edgeRight,571
68,LIGHT,lightLeft,509,lightCneter,517,lightRight,443
68,MAGNETOMETER,x,67.16,y,-160.08,z,171.12
67,ACCELEROMETER,x,0.29,y,-0.55,z,-9.48
68,BOTTOMINFRARED,edgeLeft,657,lineLeft,669,lineCenter,782,lineRight,652,edgeRight,571
67,LIGHT,lightLeft,521,lightCneter,524,lightRight,442
68,MAGNETOMETER,x,67.16,y,-161.92,z,175.72
68,ACCELEROMETER,x,0.26,y,-0.47,z,-9.39
66,BOTTOMINFRARED,edgeLeft,654,lineLeft,669,lineCenter,784,lineRight,652,edgeRight,573
68,LIGHT,lightLeft,533,lightCneter,528,lightRight,439
67,MAGNETOMETER,x,66.24,y,-163.76,z,175.72
66,ACCELEROMETER,x,0.33,y,-0.47,z,-9.45
68,BOTTOMINFRARED,edgeLeft,657,lineLeft,671,lineCenter,783,lineRight,652,edgeRight,571
66,LIGHT,lightLeft,541,lightCneter,523,lightRight,432
67,MAGNETOMETER,x,65.32,y,-162.84,z,177.56
68,ACCELEROMETER,x,0.33,y,-0.43,z,-9.42
67,BOTTOMINFRARED,edgeLeft,652,lineLeft,669,lineCenter,782,lineRight,654,edgeRight,571
68,LIGHT,lightLeft,540,lightCneter,515,lightRight,428
67,MAGNETOMETER,x,69.00,y,-163.76,z,172.96
68,ACCELEROMETER,x,0.33,y,-0.47,z,-9.44
68,BOTTOMINFRARED,edgeLeft,650,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,571
68,LIGHT,lightLeft,534,lightCneter,505,lightRight,423
68,MAGNETOMETER,x,65.32,y,-161.00,z,174.80
66,ACCELEROMETER,x,0.31,y,-0.52,z,-9.42
67,BOTTOMINFRARED,edgeLeft,654,lineLeft,667,lineCenter,782,lineRight,652,edgeRight,571
67,LIGHT,lightLeft,524,lightCneter,492,lightRight,417
66,MAGNETOMETER,x,65.32,y,-163.76,z,174.80
68,ACCELEROMETER,x,0.31,y,-0.47,z,-9.42
67,BOTTOMINFRARED,edgeLeft,659,lineLeft,669,lineCenter,782,lineRight,653,edgeRight,572
67,LIGHT,lightLeft,512,lightCneter,485,lightRight,413
68,MAGNETOMETER,x,68.08,y,-162.84,z,173.88
67,ACCELEROMETER,x,0.32,y,-0.55,z,-9.43
68,BOTTOMINFRARED,edgeLeft,657,lineLeft,668,lineCenter,783,lineRight,653,edgeRight,572
67,LIGHT,lightLeft,500,lightCneter,479,lightRight,414
68,MAGNETOMETER,x,68.08,y,-161.92,z,172.96
68,ACCELEROMETER,x,0.30,y,-0.48,z,-9.46
66,BOTTOMINFRARED,edgeLeft,650,lineLeft,668,lineCenter,783,lineRight,654,edgeRight,572
68,LIGHT,lightLeft,489,lightCneter,477,lightRight,422
67,MAGNETOMETER,x,64.40,y,-162.84,z,173.88
67,ACCELEROMETER,x,0.31,y,-0.52,z,-9.39
68,BOTTOMINFRARED,edgeLeft,654,lineLeft,669,lineCenter,784,lineRight,654,edgeRight,573
67,LIGHT,lightLeft,487,lightCneter,488,lightRight,429
67,MAGNETOMETER,x,65.32,y,-164.68,z,173.88
67,ACCELEROMETER,x,0.30,y,-0.53,z,-9.50
67,BOTTOMINFRARED,edgeLeft,648,lineLeft,668,lineCenter,783,lineRight,654,edgeRight,571
67,LIGHT,lightLeft,486,lightCneter,497,lightRight,435
67,MAGNETOMETER,x,69.00,y,-164.68,z,176.64
68,ACCELEROMETER,x,0.33,y,-0.51,z,-9.35
68,BOTTOMINFRARED,edgeLeft,658,lineLeft,669,lineCenter,783,lineRight,653,edgeRight,572
68,LIGHT,lightLeft,497,lightCneter,506,lightRight,438
68,MAGNETOMETER,x,66.24,y,-161.92,z,174.80
66,ACCELEROMETER,x,0.31,y,-0.53,z,-9.41
67,BOTTOMINFRARED,edgeLeft,654,lineLeft,671,lineCenter,784,lineRight,653,edgeRight,569
67,LIGHT,lightLeft,511,lightCneter,517,lightRight,440
67,MAGNETOMETER,x,67.16,y,-163.76,z,177.56
68,ACCELEROMETER,x,0.30,y,-0.51,z,-9.30
67,BOTTOMINFRARED,edgeLeft,650,lineLeft,669,lineCenter,782,lineRight,653,edgeRight,571
67,LIGHT,lightLeft,522,lightCneter,524,lightRight,437
67,MAGNETOMETER,x,65.32,y,-164.68,z,177.56
67,ACCELEROMETER,x,0.38,y,-0.52,z,-9.34
